venue,geonames_id,display_name,city,admin1,country,country_code,latitude,longitude,precision,note
# Reviewed venue -> place. The strongest signal in the csv corpus: a venue name
# is near-unique to a place, while the csv City column is bare ("Ontario",
# "Florence", "London") and sometimes names a ward or district the gazetteer
# does not carry as a city ("Hakata", "Kokura", "Kitazawa").
#
# Matching is on the folded venue name with the parenthetical rename history
# stripped, so "2300 Arena (AKA ECW Arena/...)" matches as "2300 Arena".
#
# Every row here was reviewed against the venue name, the promotions that ran
# it, and the date range — the three columns the review queue prints. Rows are
# recorded at CITY precision: naming the town a venue sits in is defensible
# from the venue name alone, pinning the building is not. Supplying
# latitude+longitude would promote a row to venue precision; none do yet.
#
# ---- Japan: the csv City column names a ward, district or prefecture --------
Hakata Star Lane,1863967,,,,,,,,,Hakata is a ward of Fukuoka; the city column names the ward
Kitazawa Town Hall,1850147,,,,,,,,,Kitazawa Town Hall sits in Shimokitazawa in Setagaya ward of Tokyo
Fujisan Messe,1864134,,,,,,,,,Fujisan Messe is the Fuji city exhibition hall in Shizuoka
Fuji Messe,1864134,,,,,,,,,same Fuji city hall under its short name
Ishikawa Industrial Exhibition Hall,1860243,,,,,,,,,prefectural exhibition hall in Kanazawa; the city column names the prefecture
Komatsu City Suehiro Gymnasium,1858910,,,,,,,,,Komatsu in Ishikawa prefecture
Kariya Industrial Center AIOI Hall,1860034,,,,,,,,,Kariya in Aichi prefecture
Kariya Industrial Promotion Center,1860034,,,,,,,,,Kariya in Aichi prefecture
Omiya Skate Center,6940394,,,,,,,,,Omiya is a ward of Saitama city
Shimada City Sports Center Sub Arena,1852472,,,,,,,,,Shimada in Shizuoka prefecture
Hyogo Prefectural Budokan,1862627,,,,,,,,,the Hyogo prefectural budokan is in Himeji; the city column names the prefecture
Osaka Izumi City Plaza Yayoi no Ma,1861107,,,,,,,,,Izumi in Osaka prefecture
Chino Cultural Complex Multi-Hall,1864557,,,,,,,,,Chino in Nagano prefecture, not Chino California
Sanyo Fureai Park General Gymnasium,11612564,,,,,,,,,the former Sanyo town is now part of Akaiwa in Okayama
Sanyo Heights Gymnasium,11612564,,,,,,,,,the former Sanyo town is now part of Akaiwa in Okayama
Shinnanyo City Gymnasium,11612583,,,,,,,,,Shin-Nanyo merged into Shunan in Yamaguchi
Tsuruoka City Gymnasium,1849563,,,,,,,,,Tsuruoka in Yamagata; the city column is misspelled Tsuroka
Kasumigaora Bunka Gymnasium,6822098,,,,,,,,,Kasumigaura in Ibaraki
Prince Hotel Event Hall,1848015,,,,,,,,,the Naeba Prince Hotel is in Yuzawa, Niigata
# ---- third review pass -----------------------------------------------------
Elmcor Youth and Adult Activities Center,5113779,,,,,,,,,Corona, Queens, New York
MVP Arena,5106834,,,,,,,,,MVP Arena (fka Times Union Center) is in Albany, New York
Express Live,4509177,,,,,,,,,Express Live is in Columbus, Ohio
Duluth Arena Auditorium,5024719,,,,,,,,,the AWA ran the Duluth Arena in Duluth, Minnesota
Promowest Pavilion at OVATION,4302529,,,,,,,,,Ovation is in Newport, Kentucky
Santa Clara County Fairgrounds,5392171,,,,,,,,,San Jose, California
Six Flags Great Adventure,4502434,,,,,,,,,Six Flags Great Adventure is in Jackson Township, New Jersey
Pickaway County Fairgrounds,4508778,,,,,,,,,Pickaway County fairground at Circleville, Ohio
Put In Bay,5160315,,,,,,,,,AIW is a Cleveland promotion; the city column reads Lakewood, Ohio
Rack's Bar & Billiards,4142290,,,,,,,,,CZW ran Dover, Delaware
Columbus Plaza,4236191,,,,,,,,,Glory Pro runs the St Louis metro; Collinsville, Illinois
Stadthalle Vennehof,2946228,,,,,,,,,wXw is a German promotion; Borken in North Rhine-Westphalia
Tochigi City Cultural Center,1850311,,,,,,,,,the venue names Tochigi city; the city column reads Oyama
Omiya Citizen Gymnasium,6940394,,,,,,,,,Omiya is a ward of Saitama city
Osaka Izumi City Plaza Yayoi no Kaze Hall,1861107,,,,,,,,,Izumi in Osaka prefecture
Miyako City Gymnasium,2111884,,,,,,,,,Miyako in Iwate, the larger of the same-named places
Lake Suwa Sports Center,1851368,,,,,,,,,Lake Suwa is at Suwa in Nagano
Ceratopia,1850207,,,,,,,,,Ceratopia is the Toki city hall in Gifu
Memorial Auditorium,4580543,,,,,,,,,Greenville Memorial Auditorium, South Carolina — an NWA circuit venue
National Guard Armory,4282757,,,,,,,,,Smoky Mountain territory; Ashland, Kentucky
Garden High School,4776983,,,,,,,,,Smoky Mountain territory; Oakwood in Buchanan County, Virginia
Ryan Township Fire Hall,5179095,,,,,,,,,Ryan Township is in Schuylkill County; Barnesville, Pennsylvania
Spark Recreation Center,4912845,,,,,,,,,Freelance Wrestling runs the Chicago area; Summit, Illinois
Knights of Columbus Hall,4931303,,,,,,,,,Beyond Wrestling is a New England promotion; Bridgewater, Massachusetts
Our Lady Of Mt. Carmel Society,4834040,,,,,,,,,Blitzkrieg Pro is a New England promotion; Enfield, Connecticut
# ---- fourth review pass ----------------------------------------------------
TWE Arena,5103159,,,,,,,,,ICW No Holds Barred is a New Jersey promotion; Red Bank
Lincoln Center,4921402,,,,,,,,,the Lincoln Center is a community centre in Highland, Indiana; IWA Mid-South territory
Charlestown Civic Center,4255704,,,,,,,,,Charlestown, Indiana — IWA Mid-South and OVW territory
American Legion Post #335,5397603,,,,,,,,,RISE ran South Gate, California
Bristol Central High School,5282835,,,,,,,,,Northeast Wrestling is a Connecticut promotion; Bristol
Denali Harley-Davidson Showroom,5871146,,,,,,,,,the Denali Harley-Davidson showroom is in Palmer, Alaska
Charleston Coliseum,4801859,,,,,,,,,the Charleston Coliseum and Convention Center is in Charleston, West Virginia
